# RNG-WINDOW CONSUMER MANIFEST — the source-of-truth registry the freeze gate enforces.
# =====================================================================================
#
# WHY THIS FILE EXISTS
# --------------------
# The v45 north-star: every storage slot a pending randomness consumption READS must be
# frozen against player action for the whole [VRF request -> unlock] window. The runtime
# net (test/fuzz/invariant/RngWindowFreeze.inv.t.sol) asserts that freeze over a
# HAND-ENUMERATED set of slots inside RngWindowFreezeHandler. Nothing, until this gate,
# guarded that hand-enumeration against source drift: a new consumer of a VRF word could
# be added and the runtime net would keep passing because it only checks the slots a human
# listed. This manifest + scripts/check-rng-window.sh close that gap. The gate re-derives,
# from source, every read/write of a VRF-word storage variable and fails the build when a
# live access is not registered here (a new/moved consumer to classify) or a registered row
# no longer matches source (a stale entry to remove). When the gate trips on a new access,
# the reviewer MUST classify it below AND confirm RngWindowFreezeHandler's enumerated slot
# set covers the slot it reads.
#
# This is text-level analysis (scripts/lib/rng_window_extract.py), not a compiler dataflow
# proof. It is deliberately conservative: it surfaces EVERY syntactic access so a human
# re-runs the backward-trace judgement per changed site. It does not by itself prove a site
# is safe — the CLASS column records the reviewed judgement of why each site is safe.
#
# TRACKED VARIABLES (the VRF-word storage set). Keep in lockstep with VRF_WORD_IDENTIFIERS
# in rng_window_extract.py and with the enumerated slots in RngWindowFreezeHandler:
#   rngWordCurrent          the fulfilled-but-not-yet-sealed daily buffer (own slot)
#   rngWordByDay[day]       the sealed, write-once per-day word            (slot 10)
#   lootboxRngWordByIndex[] the sealed, write-once per-index lootbox word  (slot 34)
#   lootboxRngPacked        the packed lootbox cursor; low 48 bits = index (slot 33)
#
# CROSS-CONTRACT READERS (_wordAt, _dailyWordAt). A satellite outside the game — CRAPS — reads
# the same three slots through `DegenerusGame.extsload`, naming NUMERIC SLOTS and never a storage
# variable. Identifier matching alone was therefore blind to it: craps contributed zero rows while
# the gate still printed full coverage. `LootboxCraps` funnels every such read through exactly two
# accessors, so those accessor NAMES are tracked here and every craps consumer is classified below
# like any other. The slot pins themselves are held by test/craps/LootboxCraps.t.sol, which
# re-derives all three from the audited layout and fails on drift.
#
# FROZEN_SET declares the identifiers the runtime net must enumerate; the gate cross-checks
# that RngWindowFreezeHandler references each. (dailyIdx — the non-VRF day cursor, slot 0
# byte 3 — is a 4th enumerated slot in the handler but is read in hundreds of unrelated
# places, so it is NOT tracked as a word variable here; the handler covers it directly.)
# FROZEN_SET: rngWordByDay lootboxRngWordByIndex lootboxRngPacked
#
# WINDOW ASYMMETRY (a reviewer note the CLASS judgements rest on): a DAILY request sets both
# rngLockedFlag and prizePoolFrozen; a MID-DAY requestLootboxRng sets NEITHER — it relies on
# the LR_MID_DAY bit + rngRequestTime != 0. So "a VRF request is outstanding" is NOT the same
# as rngLocked() == true. Any future CONSUMER-SEALED/GATE/CURSOR row must be re-checked
# against BOTH windows, not just the daily lock.
#
# CLASS meanings:
#   DECL            storage declaration of a tracked variable.
#   PRODUCER        writes a word/cursor. Every writer today runs in the exempt advance /
#                   VRF-callback / mint-queue path (a cursor-index allocation). A writer that
#                   appears in a NEW function is the highest-signal drift: re-verify it cannot
#                   rewrite a sealed word a pending consumption will read.
#   EXEMPT-ADVANCE  read inside advanceGame / the VRF request-response / seal / gap-backfill /
#                   game-over terminal flow — the v45-exempt heartbeat (no player interleave
#                   between the read and the word it depends on).
#   CONSUMER-SEALED player-reachable read that consumes a SEALED, write-once word for a value
#                   decision. Safe because the word is written once by the exempt producer and
#                   read only after unlock — a player cannot change what it reads mid-window.
#   GATE            player-reachable readiness/existence check (e.g. `word != 0` -> RngNotReady),
#                   not consumed for a value decision.
#   CURSOR          player-reachable read of the lootboxRngPacked cursor — the non-VRF slot read
#                   ALONGSIDE the lootbox word (its own bug class; the freeze net enumerates it).
#   ACCESSOR        pure view getter / packed-field helper (no decision, no window sensitivity).
#
# COLUMNS (tab-separated): CLASS  IDENTIFIER  FUNCTION  FILE  MODE
# Regenerate the body after a large refactor with:
#   python3 scripts/lib/rng_window_extract.py | python3 scripts/lib/rng_window_classify.py
# then hand-review every row before committing.
#
CLASS	IDENTIFIER	FUNCTION	FILE	MODE
EXEMPT-ADVANCE	rngWordCurrent	rngGate	modules/DegenerusGameAdvanceModule.sol	READ
EXEMPT-ADVANCE	rngWordCurrent	updateVrfCoordinatorAndSub	modules/DegenerusGameGameOverModule.sol	READ
CONSUMER-SEALED	lootboxRngWordByIndex	_resolveBet	modules/DegenerusGameDegeneretteModule.sol	READ
CONSUMER-SEALED	lootboxRngWordByIndex	_openBoxBoth	modules/DegenerusGameLootboxModule.sol	READ
CONSUMER-SEALED	lootboxRngWordByIndex	_openLootBoxLeg	modules/DegenerusGameLootboxModule.sol	READ
CONSUMER-SEALED	lootboxRngWordByIndex	openHumanBoxes	modules/DegenerusGameLootboxModule.sol	READ
CONSUMER-SEALED	lootboxRngWordByIndex	processTicketBatch	modules/DegenerusGameMintModule.sol	READ
CONSUMER-SEALED	rngWordByDay	deityBoonData	DegenerusGame.sol	READ
CONSUMER-SEALED	rngWordByDay	_payFoilTier	modules/DegenerusGameFoilPackModule.sol	READ
CONSUMER-SEALED	rngWordByDay	_processFoilDrain	modules/DegenerusGameFoilPackModule.sol	READ
CONSUMER-SEALED	rngWordByDay	_tryClaimFoilMatch	modules/DegenerusGameFoilPackModule.sol	READ
CONSUMER-SEALED	rngWordByDay	claimGoldenTicket	modules/DegenerusGameFoilPackModule.sol	READ
CONSUMER-SEALED	rngWordByDay	issueDeityBoon	modules/DegenerusGameBoonModule.sol	READ
CONSUMER-SEALED	rngWordByDay	_farFutureSeed	modules/DegenerusGameMintStreakUtils.sol	READ
CONSUMER-SEALED	rngWordByDay	_autoOpen	modules/GameAfkingModule.sol	READ
GATE	lootboxRngWordByIndex	boxesPending	DegenerusGame.sol	READ
GATE	lootboxRngWordByIndex	_placeDegeneretteBetCore	modules/DegenerusGameDegeneretteModule.sol	READ
GATE	lootboxRngWordByIndex	_buyPresaleBoxFor	modules/DegenerusGameMintModule.sol	READ
GATE	rngWordByDay	_afkingStreak	storage/DegenerusGameStorage.sol	READ
GATE	rngWordByDay	_rngWordByDayOf	DegenerusGameLens.sol	READ	read-only periphery mirror of _afkingStreak's decay gate (existence test on the sealed word via extsload); the lens is never called by game logic and can move no value
GATE	rngWordByDay	_foilDrainPending	storage/DegenerusGameStorage.sol	READ
GATE	rngWordByDay	_vrfDead	storage/DegenerusGameStorage.sol	READ	existence check only, read once a request is a whole VRF-dead window old with nothing delivered: a word applied for the request's day means VRF works (a ticket backlog), so the deterministic ending does not fire; no value decision
GATE	rngWordCurrent	_vrfDead	storage/DegenerusGameStorage.sol	READ	existence check only, read once a request is a whole VRF-dead window old: a delivered daily word means VRF works even if the day processing it never completes (a stuck stage or a backlog), so that game ends by the deadman on a fresh terminal word instead; no value decision
GATE	rngWordByDay	_livenessTriggered	storage/DegenerusGameStorage.sol	READ	existence check only, read only past the purchase deadline: the deadline starts the ending only on a caught-up day whose word does not exist yet, so the terminal word is always requested after the freeze; no value decision
EXEMPT-ADVANCE	rngWordByDay	purchaseWhalePassForSdgnrs	modules/DegenerusGameWhaleModule.sol	READ	existence gate only (word != 0 -> return 0, no purchase) on the afking STAGE path, re-checking the STAGE's own "unlocked AND word uncommitted" gate live before any award; delegatecall-only, no player entry; slot 10 is enumerated by RngWindowFreezeHandler
CURSOR	lootboxRngPacked	applyBoxOrderScore	modules/DegenerusGameLootboxModule.sol	READ
CURSOR	lootboxRngPacked	beginBoxOrder	modules/DegenerusGameLootboxModule.sol	READ
CURSOR	lootboxRngPacked	quoteBoxOrder	modules/DegenerusGameLootboxModule.sol	READ
CURSOR	lootboxRngPacked	recordCoverBox	modules/DegenerusGameLootboxModule.sol	READ
CURSOR	lootboxRngPacked	_lootboxEntryRefusesPass	modules/DegenerusGameWhaleModule.sol	READ	same cursor read as recordCoverBox: the sDGNRS automatic purchase preflights the live index's order-entry fullness (a capacity check, no word consumed); slot 33 is enumerated by RngWindowFreezeHandler
ACCESSOR	lootboxRngPacked	_lrAdd	storage/DegenerusGameStorage.sol	READ
ACCESSOR	lootboxRngPacked	_lrAdd	storage/DegenerusGameStorage.sol	WRITE
ACCESSOR	lootboxRngPacked	_lrRead	storage/DegenerusGameStorage.sol	READ
ACCESSOR	lootboxRngPacked	_lrWrite	storage/DegenerusGameStorage.sol	WRITE
ACCESSOR	rngWordByDay	rngWordForDay	DegenerusGame.sol	READ
ACCESSOR	rngWordCurrent	isRngFulfilled	DegenerusGame.sol	READ
ACCESSOR	_wordAt	_wordAt	LootboxCraps.sol	READ
ACCESSOR	_dailyWordAt	_dailyWordAt	LootboxCraps.sol	READ
CONSUMER-SEALED	_wordAt	_seedFor	LootboxCraps.sol	READ
CONSUMER-SEALED	_wordAt	resolveSlot	CrapsBattle.sol	READ
CONSUMER-SEALED	_wordAt	keepScheduled	CrapsBattle.sol	READ
CONSUMER-SEALED	_dailyWordAt	_windowTerms	CrapsBattle.sol	READ
CONSUMER-SEALED	_dailyWordAt	_shareOf	CrapsBattle.sol	READ
CONSUMER-SEALED	_dailyWordAt	openBonusDay	CrapsBattle.sol	READ
CONSUMER-SEALED	_dailyWordAt	_enterToday	CrapsBattle.sol	READ
CONSUMER-SEALED	_dailyWordAt	vaultComp	CrapsBattle.sol	READ
CONSUMER-SEALED	_dailyWordAt	keepScheduled	CrapsBattle.sol	READ
GATE	_dailyWordAt	_reserveDay	CrapsBattle.sol	READ
GATE	_dailyWordAt	_reserveWindow	CrapsBattle.sol	READ
GATE	_dailyWordAt	upgradeReservedDay	CrapsBattle.sol	READ
ACCESSOR	_dailyWordAt	_bonusDayOf	CrapsBattle.sol	READ
ACCESSOR	_dailyWordAt	_bonusBoostBand	CrapsBattle.sol	READ
ACCESSOR	_dailyWordAt	_bonusTermsFor	CrapsBattle.sol	READ
CONSUMER-SEALED	rngWordByDay	resolveProtocolBoonDraws	modules/DegenerusGameBoonModule.sol	READ	Menu word D (fallback D+1 when D is absent) and winner word D+1; ETH hero bet placement writes only current-day pools, so D intervals/paid-ETH/score snapshots are closed before D+1 requests. Menu and winners use separate hash domains. ProtocolBoonDraw verifies launch-day awards, pool immutability, and exact award-day gating.
