# SOLV pool-write manifest — the reviewed registry of every mutation of the game's
# counted ETH-obligation terms and every call of their canonical mutator helpers.
#
# The counted terms are exactly the obligation set the protocol totals in
# DegenerusGameJackpotModule.distributeYieldSurplus (and the EthSolvency oracle
# mirrors in test/fuzz/helpers/SolvencyObligations.sol):
#   currentPrizePool + next/future (prizePoolsPacked) + claimablePool
#   + yieldAccumulator + pending next/future (prizePoolPendingPacked).
# This enumeration was proven COMPLETE at review time: every sub-pool is carved
# from a counted term or holds no wei.
# This manifest is the drift gate that keeps that proof true: a new/moved site
# that mutates a counted term (or calls a canonical mutator) must be classified
# here, forcing the provenance question (paired? backed? relabel?) on review.
#
# CLASS semantics (the reviewed judgement; the gate does not re-derive it):
#   DECL         state-variable declaration
#   MUTATOR-DEF  canonical helper definition / the raw write inside its body
#   VALUE-IN     term rises backed by value arriving in the same flow
#                (msg.value, stETH pull, or recognized yield surplus)
#   VALUE-OUT    term falls as value leaves (withdrawal, payout, cross-contract
#                handoff re-counted on the receiving side)
#   POOL-TO-POOL redistribution among counted terms (relabels, freeze folds,
#                budget carves) — the obligation SUM is preserved
#   PAIRED-CREDIT per-player ledger credit whose aggregate move is paired at the
#                same site or folded once by the caller (claimablePool == Σ halves)
#   PRE-COUNTED  per-player credit whose aggregate entered claimablePool at an
#                earlier site (decimator/BAF rounds counted at snapshot)
#   DRAIN-ZERO   game-over drain / final-sweep zeroing (terminal collapse)
#
# Matching key: IDENTIFIER|FUNCTION|FILE|MODE (line numbers deliberately absent —
# they drift; multiple same-key sites in one function share one row and the
# rationale says so). TRACKED_SET must equal the check script's identifier list.
#
# TRACKED_SET: claimablePool currentPrizePool prizePoolsPacked prizePoolPendingPacked yieldAccumulator _setPrizePools _setPendingPools _setCurrentPrizePool _setFuturePrizePool _addPrizeContribution _creditClaimable _addNextPrizePool _addFuturePrizePool
CLASS	IDENTIFIER	FUNCTION	FILE	MODE	RATIONALE
POOL-TO-POOL	_setFuturePrizePool	_claimDecimatorJackpotFor	modules/DegenerusGameDecimatorModule.sol	READ	live-claim lootbox half returns to future; paired claimablePool -= in _creditDecJackpotClaimCore
PRE-COUNTED	_creditClaimable	_creditDecJackpotClaimCore	modules/DegenerusGameDecimatorModule.sol	READ	ETH half of a live decimator claim; aggregate counted at snapshot
POOL-TO-POOL	claimablePool	_creditDecJackpotClaimCore	modules/DegenerusGameDecimatorModule.sol	WRITE	lootbox half leaves claimable, paired with the future += at the caller
PRE-COUNTED	_creditClaimable	claimTerminalDecimatorJackpot	modules/DegenerusGameDecimatorModule.sol	READ	terminal round pre-counted at the game-over drain (claimablePool += decSpend)
PAIRED-CREDIT	_creditClaimable	_addClaimableEth	modules/DegenerusGameDegeneretteModule.sol	READ	per-player half of the same tandem credit
PAIRED-CREDIT	claimablePool	_addClaimableEth	modules/DegenerusGameDegeneretteModule.sol	WRITE	aggregate + per-player in tandem; funded by the running pool debit in _distributePayout
VALUE-IN	_setPendingPools	_collectBetFunds	modules/DegenerusGameDegeneretteModule.sol	READ	ETH bet lands in pending future during freeze; claimable/afking-funded shortfall leg pre-debited via _settleShortfall (relabel)
VALUE-IN	_setPrizePools	_collectBetFunds	modules/DegenerusGameDegeneretteModule.sol	READ	ETH bet lands in future (same funding mix as the frozen path)
POOL-TO-POOL	_setFuturePrizePool	resolveDegeneretteBets	modules/DegenerusGameDegeneretteModule.sol	READ	unfrozen-path flush of the running future local after ETH-win debits
POOL-TO-POOL	_setPendingPools	resolveDegeneretteBets	modules/DegenerusGameDegeneretteModule.sol	READ	frozen-path flush of the running pending-future local after ETH-win debits
POOL-TO-POOL	_setFuturePrizePool	resolveEthSpinFromBox	modules/DegenerusGameDegeneretteModule.sol	READ	box ETH-spin flush, unfrozen path
POOL-TO-POOL	_setPendingPools	resolveEthSpinFromBox	modules/DegenerusGameDegeneretteModule.sol	READ	box ETH-spin flush (same shape as resolveDegeneretteBets)
VALUE-IN	_setPendingPools	buyFoilPack	modules/DegenerusGameFoilPackModule.sol	READ	foil premium lands in pending pools during freeze (75/25 split; fresh ETH + relabel mix)
VALUE-IN	_setPrizePools	buyFoilPack	modules/DegenerusGameFoilPackModule.sol	READ	foil premium lands in live pools (75/25 split)
POOL-TO-POOL	claimablePool	buyFoilPack	modules/DegenerusGameFoilPackModule.sol	WRITE	foil cost drawn from buyer claimable/afking (settle waterfall): claimable relabels into the prize pools
DRAIN-ZERO	claimablePool	handleFinalSweep	modules/DegenerusGameGameOverModule.sol	WRITE	30-day final sweep: sinks paid their claimable, residual forfeited three-way, claims closed (GO_SWEPT)
PAIRED-CREDIT	_creditClaimable	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	READ	per-owner refunds; aggregate bumped once via totalRefunded
DRAIN-ZERO	_setCurrentPrizePool	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	READ	live pools zeroed at the game-over drain
DRAIN-ZERO	_setFuturePrizePool	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	READ	live pools zeroed at the game-over drain; value re-credited as claimable or distributed
POOL-TO-POOL	claimablePool	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	WRITE	two sites: refund total and terminal-decimator round - both move drained live-pool value into claimable
DRAIN-ZERO	prizePoolPendingPacked	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	WRITE	pending buffer folded into the drained total and zeroed
DRAIN-ZERO	yieldAccumulator	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	WRITE	yield accumulator folded into the drained total and zeroed
MUTATOR-DEF	_addFuturePrizePool	_addFuturePrizePool	modules/DegenerusGameJackpotModule.sol	READ	canonical helper definition
MUTATOR-DEF	_setPrizePools	_addFuturePrizePool	modules/DegenerusGameJackpotModule.sol	READ	helper body delegates to the packed-slot setter
MUTATOR-DEF	_addNextPrizePool	_addNextPrizePool	modules/DegenerusGameJackpotModule.sol	READ	canonical helper definition
MUTATOR-DEF	_setPrizePools	_addNextPrizePool	modules/DegenerusGameJackpotModule.sol	READ	helper body delegates to the packed-slot setter
POOL-TO-POOL	_addNextPrizePool	_distributePoolBackedTickets	modules/DegenerusGameJackpotModule.sol	READ	ticket-leg budget (carved from future by callers) lands in next
PAIRED-CREDIT	_creditClaimable	_payNormalBucket	modules/DegenerusGameJackpotModule.sol	READ	per-winner half of the liabilityDelta tandem
PAIRED-CREDIT	claimablePool	_processDailyEth	modules/DegenerusGameJackpotModule.sol	WRITE	winners' liabilityDelta aggregate; per-winner credits in _payNormalBucket/_processSoloBucketWinner; funded by the current-pool debit in payDailyJackpot
POOL-TO-POOL	_addFuturePrizePool	_processSoloBucketWinner	modules/DegenerusGameJackpotModule.sol	READ	whale-pass cost portion returns to future
PAIRED-CREDIT	_creditClaimable	_processSoloBucketWinner	modules/DegenerusGameJackpotModule.sol	READ	solo-bucket winner credit folded into liabilityDelta (two sites, one function)
POOL-TO-POOL	_setPrizePools	_payGoldRush	modules/DegenerusGameJackpotModule.sol	READ	gold-rush ETH rung: future debited (next passed through), re-counted as claimable in tandem
POOL-TO-POOL	claimablePool	_payGoldRush	modules/DegenerusGameJackpotModule.sol	WRITE	gold-rush ETH rung aggregate: future -> claimable; per-player credit paired below
PAIRED-CREDIT	_creditClaimable	_payGoldRush	modules/DegenerusGameJackpotModule.sol	READ	armed winner credit, per-player half of the future->claimable tandem
POOL-TO-POOL	_setPrizePools	_runEarlyBirdTicketJackpot	modules/DegenerusGameJackpotModule.sol	READ	future funds the budget, next backs the queued tickets - single net move on the packed slot
VALUE-IN	_creditClaimable	distributeYieldSurplus	modules/DegenerusGameJackpotModule.sol	READ	recognized stETH yield surplus: runs only when balance+stETH exceeds the full obligation set; three sink credits
VALUE-IN	claimablePool	distributeYieldSurplus	modules/DegenerusGameJackpotModule.sol	WRITE	aggregate for the three sink credits (23% x3)
VALUE-IN	yieldAccumulator	distributeYieldSurplus	modules/DegenerusGameJackpotModule.sol	WRITE	23% surplus share retained as the yield buffer
POOL-TO-POOL	_addFuturePrizePool	payDailyJackpot	modules/DegenerusGameJackpotModule.sol	READ	unpaid daily ETH returns to future
POOL-TO-POOL	_addNextPrizePool	payDailyJackpot	modules/DegenerusGameJackpotModule.sol	READ	daily lootbox budget -> next pool
POOL-TO-POOL	_setCurrentPrizePool	payDailyJackpot	modules/DegenerusGameJackpotModule.sol	READ	daily ETH/lootbox budgets carved from the current pool (three call sites, one function)
POOL-TO-POOL	_setFuturePrizePool	payDailyJackpot	modules/DegenerusGameJackpotModule.sol	READ	jackpot-phase budget carve from future
POOL-TO-POOL	_setPrizePools	payDailyJackpot	modules/DegenerusGameJackpotModule.sol	READ	jackpot-day pool recomposition (single packed write)
PRE-COUNTED	_creditClaimable	runBafJackpot	modules/DegenerusGameJackpotModule.sol	READ	BAF winner credits; the summed claimed returns to AdvanceModule and enters claimablePool via claimableDelta
VALUE-IN	_creditClaimable	creditRedemptionDirect	modules/DegenerusGameLootboxModule.sol	READ	direct redemption half arrives and credits the player (tandem with the aggregate below)
VALUE-IN	claimablePool	creditRedemptionDirect	modules/DegenerusGameLootboxModule.sol	WRITE	aggregate in tandem with the arriving value
VALUE-IN	_setPendingPools	resolveRedemptionLootbox	modules/DegenerusGameLootboxModule.sol	READ	redemption value arrives (msg.value + stETH pull) -> pending future during freeze
VALUE-IN	_setPrizePools	resolveRedemptionLootbox	modules/DegenerusGameLootboxModule.sol	READ	redemption value arrives -> future (live path)
VALUE-IN	_addPrizeContribution	_purchaseForWithCached	modules/DegenerusGameMintModule.sol	READ	ticket + lootbox purchase revenue -> pools (fresh ETH and/or claimable draw; the draw leg is the POOL-TO-POOL debit below)
POOL-TO-POOL	claimablePool	_purchaseForWithCached	modules/DegenerusGameMintModule.sol	WRITE	claimable-funded purchase legs: aggregate falls as the pools rise (relabel)
PAIRED-CREDIT	_creditClaimable	sellFarFutureEntries	modules/DegenerusGameMintModule.sol	READ	total-preserving relabel: buyer claimable/afking debited via _debitSalvageEth, seller credited; claimablePool unchanged
VALUE-IN	_creditClaimable	_creditBoxProceeds	modules/DegenerusGamePayoutUtils.sol	READ	vault 80% / sDGNRS 20% credits summing exactly to boxEth
VALUE-IN	claimablePool	_creditBoxProceeds	modules/DegenerusGamePayoutUtils.sol	WRITE	coin-presale-box proceeds: aggregate += full boxEth
PAIRED-CREDIT	_creditClaimable	_queueWhalePassClaimCore	modules/DegenerusGamePayoutUtils.sol	READ	sub-half-pass remainder credited and RETURNED for the caller to fold into its claimableDelta (single aggregate bump + source-pool debit)
VALUE-IN	_setPendingPools	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	READ	pass purchase revenue -> pending pools during freeze
VALUE-IN	_setPrizePools	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	READ	pass purchase revenue -> live pools
VALUE-IN	_setPendingPools	purchaseLazyPass	modules/DegenerusGameWhaleModule.sol	READ	pass purchase revenue -> pending pools during freeze
VALUE-IN	_setPrizePools	purchaseLazyPass	modules/DegenerusGameWhaleModule.sol	READ	pass purchase revenue -> live pools
VALUE-IN	_setPendingPools	purchaseWhalePass	modules/DegenerusGameWhaleModule.sol	READ	pass purchase revenue -> pending pools during freeze
VALUE-IN	_setPrizePools	purchaseWhalePass	modules/DegenerusGameWhaleModule.sol	READ	pass purchase revenue -> live pools
POOL-TO-POOL	claimablePool	_deliverAfkingBuy	modules/GameAfkingModule.sol	WRITE	afking/claimable funding spent on the daily buy (two sites); pools credited via _routeAfkingPoolEth
POOL-TO-POOL	_setPendingPools	_routeAfkingPoolEth	modules/GameAfkingModule.sol	READ	the afking buy's pool credit, freeze path
POOL-TO-POOL	_setPrizePools	_routeAfkingPoolEth	modules/GameAfkingModule.sol	READ	the afking buy's pool credit, live path
VALUE-IN	claimablePool	subscribe	modules/GameAfkingModule.sol	WRITE	prepaid afking funding arrives (msg.value); per-player afking half in tandem (SOLVENCY-01 identity)
DECL	claimablePool	<file-scope>	storage/DegenerusGameStorage.sol	DECL	counted-term state variable declaration
DECL	currentPrizePool	<file-scope>	storage/DegenerusGameStorage.sol	DECL	counted-term state variable declaration
DECL	prizePoolPendingPacked	<file-scope>	storage/DegenerusGameStorage.sol	DECL	counted-term state variable declaration
DECL	prizePoolsPacked	<file-scope>	storage/DegenerusGameStorage.sol	DECL	counted-term state variable declaration
DECL	yieldAccumulator	<file-scope>	storage/DegenerusGameStorage.sol	DECL	counted-term state variable declaration
MUTATOR-DEF	_addPrizeContribution	_addPrizeContribution	storage/DegenerusGameStorage.sol	READ	freeze-aware contribution helper definition
MUTATOR-DEF	_setPendingPools	_addPrizeContribution	storage/DegenerusGameStorage.sol	READ	helper body: frozen branch
MUTATOR-DEF	_setPrizePools	_addPrizeContribution	storage/DegenerusGameStorage.sol	READ	helper body: live branch
VALUE-IN	claimablePool	_creditAfkingValue	storage/DegenerusGameStorage.sol	WRITE	overpay/bare-send absorbed as prepaid afking liability; ETH already in balance, per-player afking half in tandem
MUTATOR-DEF	_creditClaimable	_creditClaimable	storage/DegenerusGameStorage.sol	READ	per-player credit helper definition (writes balancesPacked only; every call site pairs an aggregate move)
MUTATOR-DEF	_setCurrentPrizePool	_setCurrentPrizePool	storage/DegenerusGameStorage.sol	READ	canonical current setter definition
MUTATOR-DEF	currentPrizePool	_setCurrentPrizePool	storage/DegenerusGameStorage.sol	WRITE	the raw write inside the canonical setter
MUTATOR-DEF	_setFuturePrizePool	_setFuturePrizePool	storage/DegenerusGameStorage.sol	READ	canonical future setter definition
MUTATOR-DEF	_setPrizePools	_setFuturePrizePool	storage/DegenerusGameStorage.sol	READ	helper body delegates to the packed-slot setter
MUTATOR-DEF	_setPrizePools	_setNextPrizePool	storage/DegenerusGameStorage.sol	READ	nested canonical setter (next half)
MUTATOR-DEF	_setPendingPools	_setPendingPools	storage/DegenerusGameStorage.sol	READ	canonical pending-slot setter definition
MUTATOR-DEF	prizePoolPendingPacked	_setPendingPools	storage/DegenerusGameStorage.sol	WRITE	the packed write inside the canonical setter
MUTATOR-DEF	_setPrizePools	_setPrizePools	storage/DegenerusGameStorage.sol	READ	canonical packed-slot setter definition
MUTATOR-DEF	prizePoolsPacked	_setPrizePools	storage/DegenerusGameStorage.sol	WRITE	the packed write inside the canonical setter
POOL-TO-POOL	claimablePool	_settleShortfall	storage/DegenerusGameStorage.sol	WRITE	canonical spend waterfall (claimable then afking); the matching value destination is at each call site (D-01: pairing kept at call sites)
