# Advance-chain external-call manifest — the reviewed registry behind scripts/check-advance-calls.sh.
#
# One row per external call site in the crank's file set (scripts/lib/external_call_extract.py:
# the game facade, its storage base, the advance module and every module the advance reaches).
# CLASS is the reviewed reachability judgement; the gate keeps the registry in exact
# correspondence with source and requires every CRANK-PINNED row to name a test that drives
# the callee (the file must literally mention the callee function).
#
# Roots: DegenerusGame.advanceGame -> AdvanceModule.advanceGame (every internal it reaches:
# rngGate, _finalizeRngRequest, _unlockRng, _handleGameOverPath, _consolidatePoolsAndRewardJackpots,
# _endPhase, _rewardTopAffiliate, _distributeYieldSurplus, _runSubscriberStage, the ticket batches,
# _autoStakeExcessEth, _tryRequestRng, _requestVrfWord, _afKingSubDraw, _backfillGapDays,
# _gameOverEntropy, _resolvePendingRedemption); the VRF fulfilment (rawFulfillRandomWords, which
# makes no external call); the keeper router mineFlip (advance self-call, _autoOpen/_openAfkingBox,
# openHumanBoxes, _crapsKeep under try). Module roots: Mint.processTicketBatch/processFutureTicketBatch,
# Afking.processSubscriberStage, Jackpot.payDailyJackpot/payDailyJackpotCoinAndTickets/payDailyFlipJackpot/
# distributeYieldSurplus, GameOver.handleGameOverDrain/handleFinalSweep, the facade self-calls
# runBafJackpot/runDecimatorJackpot/runTerminalJackpot/runTerminalDecimatorJackpot/emitDailyWinningTraits.
#
# Classes: CRANK-PINNED (bare, on the crank, pin required) · CRANK-TRY (wrapped at the site) ·
# CRANK-CAUGHT (bare at the site, but every crank path to it crosses an upstream try/catch —
# the rationale names the catching site) · CRANK-SELF (delegatecall/self-call into own module code)
# · CRANK-POLICY (documented intentional halt) · OFF-CRANK (not reachable from any root) ·
# CRANK-UNPINNED (bare crank call with no pin yet — the gate refuses it).
#
# Columns: CLASS  callee  function  file  mode  pin  rationale
CLASS	callee	function	file	mode	pin	rationale
OFF-CRANK	lowlevel:delegatecall	floorAfkingStreakBase	DegenerusGame.sol	BARE		QUESTS.handleFoilPurchase callback on a player foil-pack purchase
CRANK-CAUGHT	IsDGNRS.poolBalance	payRecordSdgnrs	DegenerusGame.sol	BARE		reached from the keeper craps leg (keepScheduled→resolveSlot→_payout→armDiceRunRecord→payRecordSdgnrs) only inside GameAfkingModule._crapsKeep's try; a revert is swallowed there
CRANK-CAUGHT	IsDGNRS.transferFromPool	payRecordSdgnrs	DegenerusGame.sol	BARE		same path as poolBalance: the craps leg's try in GameAfkingModule._crapsKeep catches any revert; not on the bare crank
OFF-CRANK	IDegenerusVaultOwnerGame.isVaultOwner	setLootboxRngThreshold	DegenerusGame.sol	BARE		vault-owner admin setter (lootbox RNG threshold)
OFF-CRANK	IDegenerusVaultOwnerGame.isVaultOwner	setMiddayMaxBasefee	DegenerusGame.sol	BARE		vault-owner admin setter (midday basefee cap)
OFF-CRANK	IDegenerusVaultOwnerGame.isVaultOwner	setThanosLevel	DegenerusGame.sol	BARE		vault-owner admin setter (thanos level)
OFF-CRANK	delegatecall:IDegenerusGameMintModule.purchase	_purchaseFor	DegenerusGame.sol	BARE		player ticket purchase entry (purchase / purchaseFor)
OFF-CRANK	delegatecall:IDegenerusGameLootboxModule.quoteBoxOrder	_quoteBoxOrderCost	DegenerusGame.sol	BARE		player box-order cost quote inside the purchase path
OFF-CRANK	delegatecall:IDegenerusGameMintModule.purchaseWith	_purchaseWithFoil	DegenerusGame.sol	BARE		player purchaseWithFoil entry
OFF-CRANK	delegatecall:IDegenerusGameFoilPackModule.buyFoilPack	_purchaseWithFoil	DegenerusGame.sol	BARE		player purchaseWithFoil entry (foil pack leg)
OFF-CRANK	delegatecall:IDegenerusGameMintModule.redeemFlip	redeemFlip	DegenerusGame.sol	BARE		player / VAULT redeemFlip entry
OFF-CRANK	delegatecall:IDegenerusGameMintModule.buyPresaleBox	buyPresaleBox	DegenerusGame.sol	BARE		player presale box purchase
OFF-CRANK	lowlevel:delegatecall	claimFoilMatch	DegenerusGame.sol	BARE		player foil-match claim
OFF-CRANK	lowlevel:delegatecall	claimFoilMatchMany	DegenerusGame.sol	BARE		player foil-match batch claim
OFF-CRANK	lowlevel:delegatecall	claimGoldenTicket	DegenerusGame.sol	BARE		player golden-ticket claim
OFF-CRANK	delegatecall:IDegenerusGameMintModule.buyLootboxAndPresaleBox	buyLootboxAndPresaleBox	DegenerusGame.sol	BARE		player lootbox+presale purchase entry
OFF-CRANK	lowlevel:delegatecall	openBox	DegenerusGame.sol	BARE		player box open entry
OFF-CRANK	delegatecall:IDegenerusGameWhaleModule.purchaseWhalePass	_purchaseWhalePassFor	DegenerusGame.sol	BARE		player whale pass purchase
OFF-CRANK	delegatecall:IDegenerusGameWhaleModule.purchaseLazyPass	_purchaseLazyPassFor	DegenerusGame.sol	BARE		player lazy pass purchase
OFF-CRANK	delegatecall:IDegenerusGameWhaleModule.purchaseDeityPass	_purchaseDeityPassFor	DegenerusGame.sol	BARE		player deity pass purchase
OFF-CRANK	lowlevel:delegatecall	placeDegeneretteBet	DegenerusGame.sol	BARE		player degenerette bet placement
OFF-CRANK	lowlevel:delegatecall	resolveDegeneretteBets	DegenerusGame.sol	BARE		player / VAULT degenerette bet resolution (VAULT resolves as a player)
OFF-CRANK	lowlevel:delegatecall	consumeCoinflipBoon	DegenerusGame.sol	BARE		FLIP / COINFLIP deposit-path callback (recordAmount != 0 branch only); processCoinflipPayouts re-stakes with 0
OFF-CRANK	delegatecall:IDegenerusGameBoonModule.consumeDecimatorBoost	consumeDecimatorBoon	DegenerusGame.sol	BARE		FLIP decimator-burn callback (player burn)
OFF-CRANK	delegatecall:IDegenerusGameBoonModule.issueDeityBoon	issueDeityBoon	DegenerusGame.sol	BARE		player deity boon issuance
OFF-CRANK	lowlevel:delegatecall	recordDecBurn	DegenerusGame.sol	BARE		FLIP decimator-burn callback (player burn)
CRANK-SELF	lowlevel:delegatecall	runDecimatorJackpot	DegenerusGame.sol	BARE		OnlySelf facade self-called from _consolidatePoolsAndRewardJackpots -> GAME_DECIMATOR_MODULE.runDecimatorJackpot; bubble intentional
CRANK-SELF	lowlevel:delegatecall	runBafJackpot	DegenerusGame.sol	BARE		OnlySelf facade self-called from _consolidatePoolsAndRewardJackpots -> GAME_JACKPOT_MODULE.runBafJackpot; bubble intentional
OFF-CRANK	lowlevel:delegatecall	recordTerminalDecBurn	DegenerusGame.sol	BARE		FLIP terminal-decimator burn callback (player burn)
OFF-CRANK	lowlevel:delegatecall	boostTerminalDecimator	DegenerusGame.sol	BARE		player entry boostTerminalDecimator
CRANK-SELF	lowlevel:delegatecall	runTerminalDecimatorJackpot	DegenerusGame.sol	BARE		OnlySelf facade self-called from GameOverModule.handleGameOverDrain (advance game-over path) -> GAME_DECIMATOR_MODULE; bubble intentional
CRANK-SELF	lowlevel:delegatecall	runTerminalJackpot	DegenerusGame.sol	BARE		OnlySelf facade self-called from GameOverModule.handleGameOverDrain (advance game-over path) -> GAME_JACKPOT_MODULE; bubble intentional
CRANK-SELF	lowlevel:delegatecall	emitDailyWinningTraits	DegenerusGame.sol	BARE		OnlySelf facade self-called from advanceGame (purchaseLevel==1 daily) -> GAME_JACKPOT_MODULE.emitDailyWinningTraits; bubble intentional
OFF-CRANK	lowlevel:delegatecall	claimDecimatorJackpot	DegenerusGame.sol	BARE		permissionless decimator claim (player-side, separate tx)
OFF-CRANK	lowlevel:delegatecall	claimDecimatorJackpotMany	DegenerusGame.sol	BARE		permissionless decimator batch claim (player-side, separate tx)
OFF-CRANK	lowlevel:delegatecall	claimTerminalDecimatorJackpot	DegenerusGame.sol	BARE		player terminal decimator claim
OFF-CRANK	delegatecall:IGameAfkingModule.maybeCurse	_claimWinningsWithCurse	DegenerusGame.sol	BARE		claimWinnings / claimWinnings(amount) player claim path; GNRUS, sDGNRS and VAULT redemptions call it as players
OFF-CRANK	lowlevel:call	withdrawAfkingFunding	DegenerusGame.sol	BARE		player / VAULT afking funding withdrawal entry
OFF-CRANK	lowlevel:delegatecall	claimAffiliateDgnrs	DegenerusGame.sol	BARE		player affiliate DGNRS claim
OFF-CRANK	ICoinflip.creditFlip	degeneretteResolve	DegenerusGame.sol	BARE		permissionless degenerette resolver bounty (its own tx; not a mineFlip router leg)
OFF-CRANK	delegatecall:IGameAfkingModule.drainAfkingBoxes	openBoxes	DegenerusGame.sol	BARE		player liveness valve openBoxes; the router walks afking boxes inside GameAfkingModule instead
OFF-CRANK	delegatecall:IDegenerusGameLootboxModule.openHumanBoxes	openBoxes	DegenerusGame.sol	BARE		player liveness valve openBoxes; the router runs openHumanBoxes from GameAfkingModule.mineFlip instead
OFF-CRANK	lowlevel:delegatecall	claimWhalePass	DegenerusGame.sol	BARE		player whale pass claim
OFF-CRANK	lowlevel:delegatecall	resolveRedemptionLootbox	DegenerusGame.sol	BARE		sDGNRS._claimRedemptionFor (player claimRedemption); resolveRedemptionPeriod itself makes no game callback
OFF-CRANK	lowlevel:delegatecall	creditRedemptionDirect	DegenerusGame.sol	BARE		sDGNRS._claimRedemptionFor (player claimRedemption); resolveRedemptionPeriod itself makes no game callback
OFF-CRANK	lowlevel:delegatecall	pullRedemptionReserve	DegenerusGame.sol	BARE		sDGNRS._submitGamblingClaimFrom (player gambling-burn claim)
OFF-CRANK	delegatecall:IDegenerusGameMintModule.sellFarFutureEntries	sellFarFutureEntries	DegenerusGame.sol	BARE		player / VAULT far-future entry sale
OFF-CRANK	lowlevel:delegatecall	previewSellFarFutureEntries	DegenerusGame.sol	BARE		view preview of a far-future sale
OFF-CRANK	IStETH.balanceOf	adminSwapEthForStEth	DegenerusGame.sol	BARE		ADMIN-only ETH->stETH swap
OFF-CRANK	IStETH.transfer	adminSwapEthForStEth	DegenerusGame.sol	BARE		ADMIN-only ETH->stETH swap
OFF-CRANK	IDegenerusVaultOwnerGame.isVaultOwner	adminStakeEthForStEth	DegenerusGame.sol	BARE		vault-owner admin stake entry
OFF-CRANK	IStETH.submit	adminStakeEthForStEth	DegenerusGame.sol	TRY		vault-owner admin stake entry; the catch re-throws TransferFailed
OFF-CRANK	lowlevel:delegatecall	updateVrfCoordinatorAndSub	DegenerusGame.sol	BARE		ADMIN governance coordinator rotation (DegenerusAdmin is the caller)
OFF-CRANK	lowlevel:delegatecall	requestLootboxRng	DegenerusGame.sol	BARE		keeper / CRAPS mid-day RNG request, its own tx; CrapsBattle._armSlot calls it under try and _crapsKeep catches the craps leg
OFF-CRANK	IDegenerusCoin.burnCoin	reverseFlip	DegenerusGame.sol	BARE		player reverseFlip entry
OFF-CRANK	IStETH.approve	_transferSteth	DegenerusGame.sol	BARE		claim payout helper (claimWinnings* / claimWinningsStethFirst); player, VAULT, GNRUS, sDGNRS claim entries
OFF-CRANK	IsDGNRS.depositSteth	_transferSteth	DegenerusGame.sol	BARE		claim payout helper (claimWinnings* / claimWinningsStethFirst); sDGNRS-recipient leg
OFF-CRANK	IStETH.transfer	_transferSteth	DegenerusGame.sol	BARE		claim payout helper (claimWinnings* / claimWinningsStethFirst); player, VAULT, GNRUS claim entries
OFF-CRANK	IStETH.balanceOf	_payoutWithStethFallback	DegenerusGame.sol	BARE		ETH-first claim payout, claimWinnings player path
OFF-CRANK	lowlevel:call	_payoutWithStethFallback	DegenerusGame.sol	BARE		ETH-first claim payout, claimWinnings player path (untrusted recipient call runs last)
OFF-CRANK	IStETH.balanceOf	_payoutWithEthFallback	DegenerusGame.sol	BARE		VAULT-only claimWinningsStethFirst payout
OFF-CRANK	lowlevel:call	_payoutWithEthFallback	DegenerusGame.sol	BARE		VAULT-only claimWinningsStethFirst payout
OFF-CRANK	IStETH.balanceOf	yieldPoolView	DegenerusGame.sol	BARE		external view; no contract calls it (distributeYieldSurplus sums its own obligations)
CRANK-PINNED	IVaultOwnerCheck.isVaultOwner	advanceGame	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/VaultSweep.t.sol;test/fuzz/MiddayRngCredit.t.sol	pre-gate stalled daily request: 1h vault-owner head start on the single 12h retry; view on the pinned VAULT (balance read)
CRANK-PINNED	ICoinflip.armCenturySeed	advanceGame	modules/DegenerusGameAdvanceModule.sol	BARE	test/gas/Lvl100PhaseEndAdvanceGas.t.sol	x00 transition close arms the century seed; COINFLIP gate is msg.sender==GAME; silent when nothing is due
CRANK-SELF	IDegenerusGame.emitDailyWinningTraits	advanceGame	modules/DegenerusGameAdvanceModule.sol	BARE		self-call to the OnlySelf facade -> GAME_JACKPOT_MODULE.emitDailyWinningTraits (purchaseLevel==1 daily); bubble intentional
CRANK-PINNED	ICoinflip.armBafDraw	advanceGame	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/BafWeightedDraw.t.sol;test/gas/BafDrawGas.t.sol	x0 last-purchase latch arms tomorrow's weighted flip draw; COINFLIP gate is msg.sender==GAME
CRANK-PINNED	IDegenerusParimutuel.recordGrowth	advanceGame	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/ParimutuelGrowthBet.t.sol	level-transition growth settlement (purchaseLevel>=2); PARIMUTUEL gate is the game; write-once ratchet entry
CRANK-PINNED	IDegenerusQuests.rollLevelQuest	advanceGame	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/CoverageGap222.t.sol;test/unit/DegenerusQuests.test.js	level quest rolled at jackpot entry; QUESTS onlyGame gate is msg.sender==GAME
CRANK-SELF	delegatecall:IDegenerusGameGameOverModule.handleFinalSweep	_handleGameOverPath	modules/DegenerusGameAdvanceModule.sol	BARE		post-gameover final sweep delegatecall -> GAME_GAMEOVER_MODULE.handleFinalSweep; bubble intentional
CRANK-SELF	delegatecall:IDegenerusGameMintModule.processTicketBatch	_handleGameOverPath	modules/DegenerusGameAdvanceModule.sol	BARE		terminal cohort drain -> GAME_MINT_MODULE.processTicketBatch; dOk=false is swallowed so terminal fund release still runs
CRANK-SELF	delegatecall:IDegenerusGameGameOverModule.handleGameOverDrain	_handleGameOverPath	modules/DegenerusGameAdvanceModule.sol	BARE		terminal drain delegatecall -> GAME_GAMEOVER_MODULE.handleGameOverDrain; bubble intentional
CRANK-PINNED	ICoinflip.fundRecordPool	_endPhase	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/BigRecordPool.t.sol	_endPhase funds the record pool with 0.2% notional FLIP; COINFLIP gate is the game; saturating add
CRANK-PINNED	IDegenerusAffiliate.affiliateTop	_rewardTopAffiliate	modules/DegenerusGameAdvanceModule.sol	BARE	test/unit/DegenerusAffiliate.test.js	_rewardTopAffiliate view read at the last-purchase request; AFFILIATE view has no revert path
CRANK-PINNED	IsDGNRS.poolBalance	_rewardTopAffiliate	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/AffiliateDgnrsClaim.t.sol	_rewardTopAffiliate reads the sDGNRS affiliate pool balance (view)
CRANK-PINNED	IsDGNRS.transferFromPool	_rewardTopAffiliate	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/PresaleBoxDrain.t.sol;test/fuzz/CoverageGap222.t.sol	1% top-affiliate DGNRS reward; sDGNRS authorizes the game; clamps to the pool and returns the decrement
CRANK-SELF	delegatecall:IDegenerusGameJackpotModule.distributeYieldSurplus	_distributeYieldSurplus	modules/DegenerusGameAdvanceModule.sol	BARE		yield surplus split delegatecall -> GAME_JACKPOT_MODULE.distributeYieldSurplus; bubble intentional
CRANK-SELF	delegatecall:IGameAfkingModule.processSubscriberStage	_runSubscriberStage	modules/DegenerusGameAdvanceModule.sol	BARE		afking process STAGE chunk -> GAME_AFKING_MODULE.processSubscriberStage; fail-loud by design (no valve)
CRANK-SELF	IDegenerusGame.runBafJackpot	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	BARE		self-call to the OnlySelf facade -> GAME_JACKPOT_MODULE.runBafJackpot; bubble intentional
CRANK-PINNED	IDegenerusJackpots.markBafSkipped	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/BafConsolationClaim.t.sol	losing-flip x0 bracket marked skipped; JACKPOTS gate is msg.sender==GAME
CRANK-PINNED	IWwxrpIncinerator.resolveIncinerator	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/WwxrpIncinerator.t.sol	century BAF-skip incinerator draw; WWXRP gate is the game; empty bracket returns address(0)
CRANK-SELF	IDegenerusGame.runDecimatorJackpot	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	BARE		self-call to the OnlySelf facade -> GAME_DECIMATOR_MODULE.runDecimatorJackpot; bubble intentional
CRANK-PINNED	ICrapsPassCredit.creditPasses	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/SdgnrsLevelHighPasses.t.sol;test/craps/CrapsPasses.t.sol	the house's level cut banked to SDGNRS as high-roller passes; callee OnlyGame (met under delegatecall), unchecked saturating credit, no external call
CRANK-SELF	delegatecall:IDegenerusGameJackpotModule.payDailyJackpot	payDailyJackpot	modules/DegenerusGameAdvanceModule.sol	BARE		daily jackpot delegatecall -> GAME_JACKPOT_MODULE.payDailyJackpot; bubble intentional
CRANK-SELF	delegatecall:IDegenerusGameJackpotModule.payDailyJackpotCoinAndTickets	payDailyJackpotCoinAndTickets	modules/DegenerusGameAdvanceModule.sol	BARE		split daily coin+tickets delegatecall -> GAME_JACKPOT_MODULE.payDailyJackpotCoinAndTickets; bubble intentional
CRANK-SELF	delegatecall:IDegenerusGameJackpotModule.payCarryoverTickets	_payCarryoverTickets	modules/DegenerusGameAdvanceModule.sol	BARE		carryover ticket-leg delegatecall -> GAME_JACKPOT_MODULE.payCarryoverTickets, the first stage of the advance after the coin+tickets stage priced it; bubble intentional
CRANK-SELF	delegatecall:IDegenerusGameJackpotModule.payDailyFlipJackpot	_payDailyCoinJackpot	modules/DegenerusGameAdvanceModule.sol	BARE		daily FLIP jackpot delegatecall -> GAME_JACKPOT_MODULE.payDailyFlipJackpot; bubble intentional
CRANK-CAUGHT	IVRFCoordinator.getSubscription	requestLootboxRng	modules/DegenerusGameAdvanceModule.sol	BARE		requestLootboxRng is keeper/player-entered; from the crank it is reached only via CrapsBattle._armSlot's own try (inside _crapsKeep's try)
CRANK-PINNED	ICoinflip.processCoinflipPayouts	rngGate	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/VRFStallEdgeCases.t.sol;test/fuzz/StallResilience.t.sol;test/fuzz/CoinflipBonusDay.t.sol	daily flip settlement on the applied word; COINFLIP gate is msg.sender==GAME
CRANK-PINNED	ICrapsBonusDay.openBonusDay	rngGate	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/CrapsOpenerFailOpen.t.sol;test/fuzz/CrapsProtocolWiring.t.sol	craps bonus day opens on the wall-day crank; deliberately unwrapped; callee is internally revert-free
CRANK-PINNED	IDegenerusQuests.rollDailyQuest	rngGate	modules/DegenerusGameAdvanceModule.sol	BARE	test/repro/QuestStreakStallForgiveness.t.sol;test/repro/GenesisDailyQuestSeed.t.sol	daily quest roll on the wall day; idempotent per day; QUESTS onlyGame gate is msg.sender==GAME
CRANK-PINNED	IVaultOwnerCheck.isVaultOwner	rngGate	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/VaultSweep.t.sol;test/fuzz/MiddayRngCredit.t.sol	rngGate 12h retry: 1h vault-owner head start; view on the pinned VAULT (balance read)
OFF-CRANK	IAdminLinkValue.linkAmountToEth	_tryChargeMiddayCredit	modules/DegenerusGameAdvanceModule.sol	BARE		_tryChargeMiddayCredit, keeper mid-day credit charge; the CRAPS caller short-circuits before it
CRANK-PINNED	IsDGNRS.pendingResolveDay	_resolvePendingRedemption	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/RedemptionEdgeCases.t.sol;test/fuzz/StakedStonkRedemption.t.sol	sentinel read of the unresolved gambling-burn day (view on sDGNRS)
CRANK-PINNED	IsDGNRS.resolveRedemptionPeriod	_resolvePendingRedemption	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/RedemptionEdgeCases.t.sol;test/fuzz/StakedStonkRedemption.t.sol	resolves the sentinel day with a 25..175 roll; sDGNRS gate is the game; records only, no game callback
CRANK-PINNED	ICoinflip.processCoinflipPayouts	_gameOverEntropy	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/VRFStallEdgeCases.t.sol;test/fuzz/StallResilience.t.sol	game-over settlement of the final day's flips on the delivered word (bonus 0)
CRANK-PINNED	ICoinflip.processCoinflipPayouts	_gameOverEntropy	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/VRFStallEdgeCases.t.sol;test/fuzz/StallResilience.t.sol	game-over settlement on the historical fallback word (bonus 0)
CRANK-SELF	delegatecall:IDegenerusGameMintModule.processFutureTicketBatch	_processFutureTicketBatch	modules/DegenerusGameAdvanceModule.sol	BARE		far-future promotion drain -> GAME_MINT_MODULE.processFutureTicketBatch; bubble intentional
CRANK-SELF	delegatecall:IDegenerusGameMintModule.processTicketBatch	_runProcessTicketBatch	modules/DegenerusGameAdvanceModule.sol	BARE		windowed ticket sweep -> GAME_MINT_MODULE.processTicketBatch; bubble intentional
CRANK-TRY	IStETH.submit	_autoStakeExcessEth	modules/DegenerusGameAdvanceModule.sol	TRY		auto-stake at the phase transition; catch emits StEthStakeFailed (Lido paused or reverting is non-fatal)
CRANK-TRY	IVRFCoordinator.requestRandomWords	_tryRequestRng	modules/DegenerusGameAdvanceModule.sol	TRY		game-over entropy request; catch returns false and starts the 14-day fallback timer
CRANK-POLICY	IVRFCoordinator.requestRandomWords	_requestVrfWord	modules/DegenerusGameAdvanceModule.sol	BARE		documented halt until VRF funding/config is fixed; recovery = governance coordinator swap (KNOWN-ISSUES.md §1 VRF-coordinator swap governance)
CRANK-PINNED	IGNRUSResolve.pickCharity	_finalizeRngRequest	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/RngRetryLootboxStall.t.sol;test/fuzz/WwxrpIncinerator.t.sol	level!=currentLevel is the one non-access revert; safe because level=lvl and the call share the atomic block
CRANK-PINNED	IDegenerusQuests.rollDailyQuest	_finalizeRngRequest	modules/DegenerusGameAdvanceModule.sol	BARE	test/repro/QuestStreakStallForgiveness.t.sol;test/repro/GenesisDailyQuestSeed.t.sol	foil daily forced at the final-jackpot request (wall day only, never a retry); idempotent per day
CRANK-PINNED	IStETH.balanceOf	_unlockRng	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/V56FreezeSolvency.t.sol	day-seal solvency snapshot event reads the stETH balance (view on the pinned STETH)
CRANK-PINNED	ICoinflip.creditFlip	_afKingSubDraw	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/SeatTenureDraw.t.sol;test/fuzz/AfKingSubscription.t.sol	seat-tenure draw prize at the day seal; COINFLIP flip-creditor gate includes the game
CRANK-PINNED	ICoinflip.processCoinflipPayouts	_backfillGapDays	modules/DegenerusGameAdvanceModule.sol	BARE	test/fuzz/VRFStallEdgeCases.t.sol;test/fuzz/StallResilience.t.sol	gap-day backfill settlement (<=120 days) on derived words (bonus 0)
OFF-CRANK	IDegenerusQuests.effectiveBaseStreakAndAfking	_effectiveQuestStreak	storage/DegenerusGameStorage.sol	BARE		playerActivityScore view / player paths (decimator boost, degenerette, pass buys); router reach only inside lootbox try on CRAPS.deliverPasses{gas}
CRANK-PINNED	IDegenerusQuests.awardQuestStreakShield	_applyBoon	modules/DegenerusGameBoonModule.sol	BARE	test/repro/QuestShieldCrossDayDoubleConsume.t.sol;test/repro/QuestStreakStallForgiveness.t.sol	Box boon delivery on the keeper open legs (rollBoxBoons -> _deliverBoon -> _applyBoon); callee onlyGame then zero-skip
CRANK-PINNED	IDegenerusQuests.awardQuestStreakBonus	_creditActivity	modules/DegenerusGameBoonModule.sol	BARE	test/repro/QuestStreakStallForgiveness.t.sol;test/fuzz/QuestBoonAfkingStreakLoss.t.sol	Activity boon on the keeper open legs (_applyBoon -> _creditActivity); callee gated OnlyGame only, streak math clamped
OFF-CRANK	ICoinflip.creditFlip	claimDecimatorJackpotMany	modules/DegenerusGameDecimatorModule.sol	BARE		Player batch-claim entry (facade claimDecimatorJackpotMany stub); pays the caller's claim bounty
