# RNG-word TAINT manifest — the reviewed registry behind scripts/check-rng-taint.sh.
#
# Companion of scripts/rng-window-manifest.tsv. That registry tracks the VRF-word STORAGE
# identifiers; this one tracks the word once it travels by PARAMETER: every function that
# declares a word-shaped parameter (PARAM rows, subject = the parameter) and every
# cross-contract call that passes a word-shaped identifier (ARG rows, subject = the callee),
# as re-derived from source by scripts/lib/rng_taint_extract.py. The gate keeps this registry
# in exact correspondence with source; the CLASS column is the reviewed judgement.
#
# Classes: CONSUMER-SEALED (derives an outcome from a word already committed; rationale names
# the commitment point and the frozen inputs) · EXEMPT-ADVANCE (the crank / fulfilment /
# backfill machinery) · PURE-DERIVE (a pure helper mapping a committed word to a value, no actor
# input) · PRODUCER (requests or lands a word) · GATE (readiness read only) · VIEW (off-chain
# read surface) · NOT-RNG (a name collision — the value is not a VRF word).
#
# One row carries a BY-DESIGN note (the deity's choice among three one-shot boon slots after
# the preceding day's word is public — deity-daily-boon-slots-3, v68 RNGF-LBX-07, LOW): recorded, not
# hidden.
#
# Columns: CLASS  kind  subject  function  file  rationale
CLASS	kind	subject	function	file	rationale
PURE-DERIVE	PARAM	word	_settlementOf	CrapsBattle.sol	internal pure: scatter keyed hash3(word, SCATTER_TAG, owner), engine seed _crapsSeed(word, w.bound), rounding hash3(word, CRAPS_ROUND_TAG, betId); header frozen pre-arm; shared with the preview
PURE-DERIVE	ARG	FlipRoundLib.roundFlipToHundreds	_settlementOf	CrapsBattle.sol	EV-preserving rounding on hash2(word, betId ^ FLIP_ROUND_TAG); per-bet key so batching cannot choose the split; pure
PURE-DERIVE	PARAM	word	_windowTermsOn	CrapsBattle.sol	private pure: window preset from _bonusRoll(word, period) and highMult from _highMultOf(word); published terms, no actor input
EXEMPT-ADVANCE	PARAM	word	_openWindow	CrapsBattle.sol	reached only via openBonusDay (onlyGame, called by rngGate right after _applyDailyRng sealed rngWordByDay[today]); banks the window's published stake terms once per day
PURE-DERIVE	PARAM	word	_scatterInto	Craps.sol	internal pure: throws the unplaced chips at legs keccak(word, i) % 10; word is hash2(settling word, owner), passed to CrapsEngine.settleRanked by the table
PURE-DERIVE	PARAM	seed	settleSlip	CrapsEngine.sol	external pure compatibility and parity entry point, not called by the table; callers supply the seed and scatter hash; no storage or actor-controlled table settlement
PURE-DERIVE	PARAM	seed	settleRanked	CrapsEngine.sol	external pure engine door the table STATICCALLs from _settlementOf: the run with merit composite (_rankOf) in the fifth word; seed and scatter come from the committed word; no storage or actor input
PURE-DERIVE	PARAM	seed	_play	CrapsEngine.sol	private pure body shared by settleSlip and settleRanked: board, scatter and _settleSlip over the caller's seed; no storage, no actor input
CONSUMER-SEALED	PARAM	word	resolve	CoinDrawBattle.sol	GAME-only; word = keccak(daily rngWord, lvl, FAR_FUTURE_FLIP_TAG) from _awardFutureCoinFill on the advance stack; entrants walked from far-future queues frozen across the lock (new registrations revert), amount = _calcDailyCoinBudget off levelPrizePool[lvl-1]; runs keyed hash3(word, tag, wallet), no actor input after the word
PURE-DERIVE	PARAM	entropy	_award	CoinDrawBattle.sol	private pure two-band award figure; entropy = hash3(word, COIN_DRAW_ROUND_TAG, wallet) per run payout or hash2(word, tag) for the pot, fixed once the word lands; one rounding per wallet, so no batch partition to choose
PURE-DERIVE	ARG	FlipRoundLib.roundFlipToHundreds	_award	CoinDrawBattle.sol	EV-preserving 100-FLIP collapse above FLIP_ROUND_THRESHOLD on the per-wallet keyed entropy; pure
EXEMPT-ADVANCE	ARG	battle.resolve	_awardFutureCoinFill	modules/DegenerusGameJackpotModule.sol	private advance-stack purchase-day fill draw hands its battle keccak(rngWord, lvl, TAG) with the entrants it walked from frozen far-future queues and the pool-derived budget; see CoinDrawBattle.resolve
PURE-DERIVE	PARAM	word	_bonusRoll	CrapsBattle.sol	private pure hash2(word, period+1): the window's draw off the day word
PURE-DERIVE	PARAM	word	_tierPick	CrapsBattle.sol	internal pure size tier from _bonusRoll(word, period); bit-identical to _bonusPreset's draw
PURE-DERIVE	PARAM	word	_routineWeight	CrapsBattle.sol	internal pure sum of 1<<_tierPick over the six routine windows; the day's budget denominator, stored once at open
PURE-DERIVE	PARAM	word	_tieBreak	CrapsBattle.sol	private pure hash2(word, challenger) > hash2(word, leader): random total order on the settling word, arrival-order free
CONSUMER-SEALED	PARAM	word	_scoreBattle	CrapsBattle.sol	word = the slot's settling index word (sealed after the arm); folds the frozen composite into _battles[key], tie-breaks on the word, pays via _payout when the last seat lands
PURE-DERIVE	PARAM	word	_highBoostUnits	CrapsBattle.sol	internal view: _highBase(w) (the day's high budget, stored once at open) x _boostMult(word, w.key); rung pure in the settling word, base a magnitude
PURE-DERIVE	PARAM	word	_laneBoostSplit	CrapsBattle.sol	private view: rations _highBoostUnits(w, word) by the standing frozen in the seat's header; nothing joins after the arm
CONSUMER-SEALED	PARAM	word	_foldHigh	CrapsBattle.sol	settling index word (post-arm); folds the high seat into _highField[key] with the same tie-break; a sole lane rides that seat's own run on its frozen header standing
PURE-DERIVE	PARAM	word	_boostUnits	CrapsBattle.sol	internal view: _boostBase(w) (day budget fixed at open) x _boostMult(word, key) / granule; rung pure in the settling word
PURE-DERIVE	PARAM	word	_highMultOf	CrapsBattle.sol	internal pure hash2(word, HIGH_TAG) % 10: the day's high-lane multiple; a zero word means no lane
PURE-DERIVE	PARAM	word	_boostMult	CrapsBattle.sol	internal pure hash3(word, key, BOOST_TAG) % 1000 -> 1/4/40/400 rung on the settling index word
CONSUMER-SEALED	PARAM	word	_payout	CrapsBattle.sol	reached once from _scoreBattle when the field completes; word = settling index word; winner/boost/lane from the closed scoreboard and frozen headers; pool reads are magnitudes
NOT-RNG	PARAM	winnerWord	_payProgressive	CrapsBattle.sol	winnerWord = _bets[winnerId], the winning seat's packed bet HEADER (standing at >>_BET_SCORE_SHIFT, owner in the low 160 bits); not a VRF value
PRODUCER	PARAM	randomWords	rawFulfillRandomWords	DegenerusGame.sol	VRF callback (coordinator-only, single-shot on requestId and rngWordCurrent==0): lands the daily word in rngWordCurrent or the mid-day word in lootboxRngWordByIndex[LR_INDEX-1]
EXEMPT-ADVANCE	PARAM	entropy	sampleTraitEntriesAtLevel	DegenerusGame.sol	view sampler of lvlTraitEntry[targetLvl][entropy>>24]; on-chain consumer is DegenerusJackpots.runBafJackpot (onlyGame) inside the advance; buckets advance-written only
EXEMPT-ADVANCE	PARAM	entropy	sampleFarFutureTickets	DegenerusGame.sol	view sampler over the far-future ticketQueue; consumed by runBafJackpot inside the locked advance; far-future pushes revert RngLocked across request->unlock
NOT-RNG	PARAM	subWord	_effectiveQuestStreakMirror	DegenerusGameLens.sol	subWord is the afking Sub struct's packed storage word read via extsload, not a VRF value; read-only lens
NOT-RNG	PARAM	subWord	_afkingStreakMirror	DegenerusGameLens.sol	subWord = packed Sub record (covered day, start day, latch); the sealed-word presence test inside is the window gate's _rngWordByDayOf row; lens only
NOT-RNG	PARAM	maxWords	findTraitEntry	DegenerusGameLens.sol	read-only packed-entry pagination budget, not an entropy word; forwarded to _findPackedIndex
NOT-RNG	PARAM	maxWords	findQueueEntry	DegenerusGameLens.sol	read-only queue pagination budget, not an entropy word; forwarded to _findPackedIndex
NOT-RNG	PARAM	maxWords	_findPackedIndex	DegenerusGameLens.sol	bounded count (1..2048) of packed storage words to scan; not a VRF value
EXEMPT-ADVANCE	PARAM	rngWord	runBafJackpot	DegenerusJackpots.sol	onlyGame; reached from the transition advance's BAF dispatch with the rngGate word; every slice keccak-chains it; epoch read once, resolving-bracket flips RngLocked
EXEMPT-ADVANCE	ARG	coin.bafDrawWinner	runBafJackpot	DegenerusJackpots.sol	forwards the same transition word to Coinflip's domain-separated depositor draw; the armed day's book closed at the day boundary before the request
PURE-DERIVE	ARG	EntropyLib.hash2	runBafJackpot	DegenerusJackpots.sol	per-slice keccak chain hash2(entropy, ++salt) off the frozen word; no actor input
EXEMPT-ADVANCE	ARG	degenerusGame.sampleFarFutureTickets	runBafJackpot	DegenerusJackpots.sol	far-future draw inside the advance-dispatched BAF; entropy is the chained frozen word, the queue lock-frozen (RngLocked on far-future pushes)
EXEMPT-ADVANCE	ARG	degenerusGame.sampleTraitEntriesAtLevel	runBafJackpot	DegenerusJackpots.sol	scatter draw inside the advance-dispatched BAF; targetLvl and entropy pure in the chained frozen word; lvlTraitEntry written only by advance-stack drains
EXEMPT-ADVANCE	PARAM	entropy	rollDailyQuest	DegenerusQuests.sol	onlyGame; called by rngGate with the just-applied daily word; idempotent per day; a global quest type, not per-player
PURE-DERIVE	PARAM	entropy	_bonusQuestType	DegenerusQuests.sol	private pure weighted select over the entropy; decAllowed only reshapes the pool and is advance-controlled
EXEMPT-ADVANCE	PARAM	entropy	rollLevelQuest	DegenerusQuests.sol	onlyGame; called by advanceGame at the level transition with the rngGate word; global level quest type
PURE-DERIVE	PARAM	word	_crapsSeed	LootboxCraps.sol	internal pure hash3(DOMAIN, word, index): the table seed; word = _wordAt(index) fetched by the caller
EXEMPT-ADVANCE	PARAM	rngWord	resolveIncinerator	WWXRP.sol	msg.sender==GAME; called by _consolidatePoolsAndRewardJackpots on a skipped x00 BAF; entries recorded only while level%100==99, closed by the transition that requests the word
PURE-DERIVE	PARAM	word	_drawHash	WWXRP.sol	private view keccak(domain, this, day, word); word = game.rngWordForDay(day+1) in claim(): entries bind to the wall day at enter(), day+1 cannot seal until the next day's advance
PURE-DERIVE	PARAM	entropy	roundFlipToHundreds	libraries/FlipRoundLib.sol	internal pure Bernoulli round-up on uint32(entropy) % 100; callers pass a per-award tagged hash of a committed word
PURE-DERIVE	PARAM	entropy	traitBucketCounts	libraries/JackpotBucketLib.sol	internal pure rotation of [25,15,8,1] by entropy & 3
PURE-DERIVE	PARAM	entropy	bucketCountsForPool	libraries/JackpotBucketLib.sol	internal pure: traitBucketCounts(entropy) scaled by pool size; the pool is a magnitude
PURE-DERIVE	PARAM	entropy	soloBucketIndex	libraries/JackpotBucketLib.sol	internal pure (3 - (entropy & 3)) & 3
EXEMPT-ADVANCE	ARG	quests.rollLevelQuest	advanceGame	modules/DegenerusGameAdvanceModule.sol	advanceGame forwards the rngGate word at the level transition under the held lock
EXEMPT-ADVANCE	PARAM	rngWord	_distributeYieldSurplus	modules/DegenerusGameAdvanceModule.sol	advance-only wrapper; the JackpotModule callee ignores the word (unnamed param), yield math only
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	_distributeYieldSurplus	modules/DegenerusGameAdvanceModule.sol	delegatecall into JackpotModule.distributeYieldSurplus from the advance; word forwarded but unused by the callee
EXEMPT-ADVANCE	PARAM	rngWord	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	advance-only last-purchase consolidation with the rngGate word: BAF fire bit, incinerator, decimator, x00 keep roll; pools are memory magnitudes under the lock
EXEMPT-ADVANCE	ARG	wwxrpIncinerator.resolveIncinerator	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	forwards the transition word to the incinerator draw on a skipped x00 BAF; entries closed by enter()'s level check before the request
PURE-DERIVE	ARG	EntropyLib.hash2	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	separate FUTURE_KEEP_TAG, SKIM_BPS_TAG and SKIM_VARIANCE_TAG roots; constant tags, frozen word
EXEMPT-ADVANCE	PARAM	randWord	payDailyJackpot	modules/DegenerusGameAdvanceModule.sol	advance-only wrapper delegatecalling JackpotModule.payDailyJackpot with the rngGate word
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	payDailyJackpot	modules/DegenerusGameAdvanceModule.sol	delegatecall into the jackpot module from the advance stack
EXEMPT-ADVANCE	PARAM	randWord	payDailyJackpotCoinAndTickets	modules/DegenerusGameAdvanceModule.sol	advance-only phase-2 wrapper; the callee early-returns unless dailyJackpotCoinTicketsPending and re-derives traits from the same word
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	payDailyJackpotCoinAndTickets	modules/DegenerusGameAdvanceModule.sol	delegatecall into JackpotModule.payDailyJackpotCoinAndTickets from the advance stack
EXEMPT-ADVANCE	PARAM	randWord	_payCarryoverTickets	modules/DegenerusGameAdvanceModule.sol	advance-only carryover-leg wrapper delegatecalling JackpotModule.payCarryoverTickets with the rngGate word
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	_payCarryoverTickets	modules/DegenerusGameAdvanceModule.sol	delegatecall into JackpotModule.payCarryoverTickets from the advance stack
EXEMPT-ADVANCE	PARAM	randWord	_payPurchaseDailyTickets	modules/DegenerusGameAdvanceModule.sol	private advance wrapper: forwards the day's recorded word to the purchase ticket-leg stage
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	_payPurchaseDailyTickets	modules/DegenerusGameAdvanceModule.sol	purchase ticket-leg delegatecall carrying the recorded word to GAME_JACKPOT_MODULE.payPurchaseDailyTickets inside the locked advance
EXEMPT-ADVANCE	PARAM	randWord	_payEarlyBirdTickets	modules/DegenerusGameAdvanceModule.sol	advance-only early-bird-leg wrapper delegatecalling JackpotModule.payEarlyBirdTickets with the rngGate word
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	_payEarlyBirdTickets	modules/DegenerusGameAdvanceModule.sol	delegatecall into JackpotModule.payEarlyBirdTickets from the advance stack
EXEMPT-ADVANCE	PARAM	randWord	_payDailyCoinJackpot	modules/DegenerusGameAdvanceModule.sol	advance-only wrapper (purchaseLevel==1 path) for payDailyFlipJackpot; randWord is the rngGate word or its BONUS_TRAITS_TAG salt
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	_payDailyCoinJackpot	modules/DegenerusGameAdvanceModule.sol	delegatecall into JackpotModule.payDailyFlipJackpot from the advance stack
EXEMPT-ADVANCE	PARAM	randWord	_payDailyFutureCoinJackpot	modules/DegenerusGameAdvanceModule.sol	advance-only wrapper for payDailyFutureFlipJackpot; randWord is the rngGate word or its BONUS_TRAITS_TAG salt (level 1)
EXEMPT-ADVANCE	ARG	ContractAddresses.GAME_JACKPOT_MODULE.delegatecall	_payDailyFutureCoinJackpot	modules/DegenerusGameAdvanceModule.sol	delegatecall into JackpotModule.payDailyFutureFlipJackpot from the advance stack
EXEMPT-ADVANCE	ARG	coinflip.processCoinflipPayouts	rngGate	modules/DegenerusGameAdvanceModule.sol	rngGate forwards the word _applyDailyRng just sealed for `day`; the coinflip day result is stored once per epoch
EXEMPT-ADVANCE	ARG	quests.rollDailyQuest	rngGate	modules/DegenerusGameAdvanceModule.sol	rngGate forwards the sealed day word; the forces come from frozen protocol flags; rolled only on the wall day
EXEMPT-ADVANCE	PARAM	word	_resolvePendingRedemption	modules/DegenerusGameAdvanceModule.sol	advance-only: roll uint16((word>>8)%151+25) on the sealed day word for the sentinel-stamped burn day; single pool sentinel, one-shot
EXEMPT-ADVANCE	ARG	sdgnrs.resolveRedemptionPeriod	_resolvePendingRedemption	modules/DegenerusGameAdvanceModule.sol	cross-contract seam: GAME-only write of redemptionPeriods[toResolve] from the sealed word; pool stamped at submit, resolved once
PRODUCER	PARAM	rngWord	_finalizeLootboxRng	modules/DegenerusGameAdvanceModule.sol	lands the applied daily/game-over word into lootboxRngWordByIndex[LR_INDEX-1] once (!=0 guard); index request-advanced
EXEMPT-ADVANCE	ARG	coinflip.processCoinflipPayouts	_gameOverEntropy	modules/DegenerusGameAdvanceModule.sol	game-over terminal flow forwards the just-applied word to settle the final day's flips (bonus 0)
PRODUCER	ARG	vrfCoordinator.requestRandomWords	_tryRequestRng	modules/DegenerusGameAdvanceModule.sol	game-over-path VRF request (try/catch); _finalizeRngRequest sets the lock and advances LR_INDEX
PRODUCER	ARG	vrfCoordinator.requestRandomWords	_requestVrfWord	modules/DegenerusGameAdvanceModule.sol	the single-word VRF request behind _requestRng / requestLootboxRng; lock and index bookkeeping follow in _finalizeRngRequest
PRODUCER	PARAM	vrfWord	_backfillGapDays	modules/DegenerusGameAdvanceModule.sol	derives keccak(vrfWord, gapDay) per stalled day into rngWordByDay[gapDay]; vrfWord is the first post-gap word, absent when the gap-day flips were placed; the 120-day cap leaves days beyond startDay+120 unworded
EXEMPT-ADVANCE	ARG	coinflip.processCoinflipPayouts	_backfillGapDays	modules/DegenerusGameAdvanceModule.sol	settles each gap day's flips on its derived word inside the backfill; bonus 0
PRODUCER	PARAM	vrfWord	_backfillOrphanedLootboxIndices	modules/DegenerusGameAdvanceModule.sol	writes keccak(vrfWord, i) into each orphaned lootboxRngWordByIndex[i], scanning down from LR_INDEX-1 to the first filled index; boxes bound at buy
PRODUCER	PARAM	rawWord	_applyDailyRng	modules/DegenerusGameAdvanceModule.sol	the daily commit point: rngWordCurrent = rngWordByDay[day] = rawWord + totalFlipReversals (nudges frozen by rngLockedFlag before the word exists)
CONSUMER-SEALED	PARAM	seed	rollBoxBoons	modules/DegenerusGameBoonModule.sol	delegatecall-only; seed = the box's player-mixed seed off the committed per-index/caller word; roll = hash2(seed, nonce)>>120; live level only sets the chance denominator (bounded)
CONSUMER-SEALED	PARAM	seed	rollBoxBoonTiers	modules/DegenerusGameBoonModule.sol	delegatecall-only; boonSeed = hash4(rngWord, player, BOX_BOON_TAG, index) from _openLootBoxLegWith; per-tier cumulative nonces keep every draw distinct
CONSUMER-SEALED	PARAM	seed	_rollBoxBoonLane	modules/DegenerusGameBoonModule.sol	private: roll = hash2(seed, nonceBase+i)>>120 % PPM, a frozen slice of the box seed; totalChance from budget/expectedPerBoon (magnitudes) maps the fixed roll
PURE-DERIVE	ARG	EntropyLib.hash2	_rollBoxBoonLane	modules/DegenerusGameBoonModule.sol	hash2(seed, nonceBase + i): per-box counter-tagged draw; pure
PURE-DERIVE	PARAM	rngWord	_deityBoonForSlot	modules/DegenerusGameBoonModule.sol	BY-DESIGN (deity-daily-boon-slots-3; v68 RNGF-LBX-07, LOW): slot 0..2 is the deity's post-reveal pick over keccak(rngWordByDay[day - 1], deity, day, slot); documented by-design MUTABLE-INPUT (3 one-shot slots/day, gift-only)
EXEMPT-ADVANCE	PARAM	rngWord	runDecimatorJackpot	modules/DegenerusGameDecimatorModule.sol	msg.sender==GAME via the advance's self-call in _consolidate; subbuckets keccak(word, denom) % denom; burn window closed at the request; full-word snapshot stored once
CONSUMER-SEALED	PARAM	rngWord	_claimDecimatorJackpotFor	modules/DegenerusGameDecimatorModule.sol	rngWord = decClaimRounds[lvl].rngWord, a full-width snapshot written once at runDecimatorJackpot from the transition word; player and bucket min-score fixed at burn; lootbox leg only
CONSUMER-SEALED	PARAM	rngWord	_creditDecJackpotClaimCore	modules/DegenerusGameDecimatorModule.sol	H(round.rngWord, DECIMATOR_BOX_TAG, lvl); splits the claim 50/50 and hands the word to _awardDecimatorLootbox; evScore is the frozen bucket min-score
PURE-DERIVE	PARAM	entropy	_decWinningSubbucket	modules/DegenerusGameDecimatorModule.sol	private pure keccak(entropy, denom) % denom
CONSUMER-SEALED	PARAM	rngWord	_awardDecimatorLootbox	modules/DegenerusGameDecimatorModule.sol	claim-time lootbox via resolveLootboxDirect: seed hash2(H(round.rngWord, DECIMATOR_BOX_TAG, lvl), winner); word sealed at the level's resolution, winner fixed by the burn; claim permissionless
CONSUMER-SEALED	ARG	ContractAddresses.GAME_LOOTBOX_MODULE.delegatecall	_awardDecimatorLootbox	modules/DegenerusGameDecimatorModule.sol	delegatecall resolveLootboxDirect(winner, amount, H(round.rngWord, DECIMATOR_BOX_TAG, lvl), frozen evScore); seed = hash2(word, player), no live day
CONSUMER-SEALED	ARG	EntropyLib.hash2	_resolveBet	modules/DegenerusGameDegeneretteModule.sol	WWXRP draw domain and per-spin rig use separate tags; ETH box root hash2(rngWord, betId) then owner mixed by direct resolver: rngWord = lootboxRngWordByIndex[index] frozen into the bet at placement (placement reverts on a worded index), betId the placement nonce; the bet packs the INDEX (uint32) not the word, and the :673 guard reads LR_INDEX while writers target LR_INDEX-1 (defensive)
CONSUMER-SEALED	ARG	FlipRoundLib.roundFlipToHundreds	_resolveBet	modules/DegenerusGameDegeneretteModule.sol	rounding on hash4(rngWord, player, betId, FLIP_ROUND_TAG): per-bet key on the index word sealed after placement; batching cannot choose the split
CONSUMER-SEALED	PARAM	rngWord	_resolveLootboxDirect	modules/DegenerusGameDegeneretteModule.sol	rngWord = hash2(index word, betId) for the bet-win box or hash2(seed, BOX_RECIRC_TAG) for the recirc; both descend from the committed index word + immutable bet/box data
CONSUMER-SEALED	ARG	ContractAddresses.GAME_LOOTBOX_MODULE.delegatecall	_resolveLootboxDirect	modules/DegenerusGameDegeneretteModule.sol	delegatecall resolveLootboxDirect with the domain-separated word and the bet's snapshotted activityScore; seed = hash2(word, player)
PURE-DERIVE	PARAM	seed	_boxBetId	modules/DegenerusGameDegeneretteModule.sol	private pure: packs 60 low bits of the box seed into a sentinel betId label for events; no outcome
CONSUMER-SEALED	PARAM	seed	resolveWwxrpSpinFromBox	modules/DegenerusGameDegeneretteModule.sol	delegatecall-only; seed = hash2(box seed, BOX_WWXRP_SPIN_TAG) or the foil claim's tagged keccak of rngWordByDay[day]; reels/hero/rig pure in seed; symbol = one hero from matched line; colors rerolled; third seed source: the zero-pass consolation hash2(seed, BOX_PASS_SPIN_TAG)
PURE-DERIVE	ARG	EntropyLib.hash2	resolveWwxrpSpinFromBox	modules/DegenerusGameDegeneretteModule.sol	hash2(seed, RESULT_TICKET_TAG) is the result-ticket sub-seed; WWXRP_DRAW_TAG isolates its stream
CONSUMER-SEALED	PARAM	seed	resolveFlipSpinsFromBox	modules/DegenerusGameDegeneretteModule.sol	delegatecall-only; seed = hash2(box seed, BOX_FLIP_SPIN_TAG) or the foil claim seed; three reels hash2(seed, i), survival hash2(seed, SURVIVAL_TAG); mint-only
CONSUMER-SEALED	PARAM	seed	_flipSpinChain	modules/DegenerusGameDegeneretteModule.sol	private chain shared by the box roll and the record bounty (RECORD_SPIN_TAG under the resolving bet's word); every draw a tagged hash of the frozen seed
PURE-DERIVE	ARG	EntropyLib.hash2	_flipSpinChain	modules/DegenerusGameDegeneretteModule.sol	hash2(seed, i): per-reel sub-seed; pure
PURE-DERIVE	ARG	FlipRoundLib.roundFlipToHundreds	_flipSpinChain	modules/DegenerusGameDegeneretteModule.sol	rounding on hash2(seed, FLIP_ROUND_TAG), distinct from the survival draw; pure
CONSUMER-SEALED	PARAM	seed	resolveEthSpinFromBox	modules/DegenerusGameDegeneretteModule.sol	delegatecall-only; seed = hash2(box seed, BOX_ETH_SPIN_TAG) or the foil claim seed; reel pure in seed; pool reads only cap the payout; recirc seed hash2(seed, RECIRC_TAG)
PURE-DERIVE	ARG	EntropyLib.hash2	resolveEthSpinFromBox	modules/DegenerusGameDegeneretteModule.sol	hash2(seed, RESULT_TICKET_TAG) result-ticket sub-seed; pure
PURE-DERIVE	PARAM	entropy	_deriveFoilLines	modules/DegenerusGameFoilPackModule.sol	private pure lines keccak(entropy, buyer, lvl, TAG, i); entropy = rngWordByDay[resolveDay], the pack's day fixed at buy and sealed by that day's advance
PURE-DERIVE	ARG	DegenerusTraitUtils.foilTrait	_deriveFoilLines	modules/DegenerusGameFoilPackModule.sol	pure trait cut of a 64-bit seed slice; cut table from the frozen multBps
CONSUMER-SEALED	PARAM	seed	_foilSpin	modules/DegenerusGameFoilPackModule.sol	claim path: seed = keccak(rngWordByDay[day], day, drawKind, ticketIndex, FOIL_SPIN_TAG); the draw day's word sealed before any claim; activityScore frozen at buy; seed is built in _payFoilTier and does not bind player: the same tuple spins the same reels, no exclusive selection
CONSUMER-SEALED	ARG	ContractAddresses.GAME_DEGENERETTE_MODULE.delegatecall	_foilSpin	modules/DegenerusGameFoilPackModule.sol	delegatecall the box-spin resolver with the frozen seed and one selected hero symbol from the matched line, with all colors rerolled; no live input joins
EXEMPT-ADVANCE	PARAM	entropy	_resolveFoilBuyer	modules/DegenerusGameFoilPackModule.sol	foil drain (MintModule._drainFoil inside the advance ticket drain) files the pack's lines from rngWordByDay[dd], the bucket day sealed after the buy
PRODUCER	ARG	vrfCoordinator.requestRandomWords	_requestVrfWord	modules/DegenerusGameGameOverModule.sol	game-over module's VRF request (coordinator/subscription rotation path); lands via rawFulfillRandomWords
